sample_old	sample_id
TCGA-D8-A1JM-01A-11D-A13J-01	TCGA-D8-A1JM
TCGA-S3-AA12-01A-11D-A41E-01	TCGA-S3-AA12
TCGA-AC-A6IV-01A-12D-A33D-01	TCGA-AC-A6IV
TCGA-A1-A0SJ-01A-11D-A087-01	TCGA-A1-A0SJ
TCGA-HN-A2OB-01A-21D-A27O-01	TCGA-HN-A2OB
TCGA-AR-A24T-01A-11D-A166-01	TCGA-AR-A24T
TCGA-E2-A1LI-01A-12D-A160-01	TCGA-E2-A1LI
TCGA-E2-A3DX-01A-21D-A20R-01	TCGA-E2-A3DX
TCGA-A7-A4SD-01A-11D-A25N-01	TCGA-A7-A4SD
TCGA-B6-A0RM-01A-11D-A087-01	TCGA-B6-A0RM
TCGA-GM-A3XG-01A-31D-A242-01	TCGA-GM-A3XG
TCGA-C8-A26Z-01A-11D-A16C-01	TCGA-C8-A26Z
TCGA-E9-A24A-01A-11D-A166-01	TCGA-E9-A24A
TCGA-A2-A3XW-01A-11D-A238-01	TCGA-A2-A3XW
TCGA-AR-A2LQ-01A-22D-A18N-01	TCGA-AR-A2LQ
TCGA-AO-A0JD-01A-11D-A059-01	TCGA-AO-A0JD
TCGA-D8-A1Y3-01A-11D-A160-01	TCGA-D8-A1Y3
TCGA-BH-A0HI-01A-11D-A087-01	TCGA-BH-A0HI
TCGA-AC-A8OS-01A-12D-A41E-01	TCGA-AC-A8OS
TCGA-D8-A1JN-01A-11D-A13J-01	TCGA-D8-A1JN
TCGA-BH-A42U-01A-12D-A242-01	TCGA-BH-A42U
TCGA-GM-A2DB-01A-31D-A18N-01	TCGA-GM-A2DB
TCGA-BH-A1EX-01A-11D-A13J-01	TCGA-BH-A1EX
TCGA-BH-A0H9-01A-11D-A059-01	TCGA-BH-A0H9
TCGA-E2-A1IU-01A-11D-A14F-01	TCGA-E2-A1IU
TCGA-AR-A24R-01A-11D-A166-01	TCGA-AR-A24R
TCGA-AQ-A1H2-01A-11D-A13J-01	TCGA-AQ-A1H2
TCGA-D8-A1XT-01A-11D-A14J-01	TCGA-D8-A1XT
TCGA-BH-A1ES-01A-11D-A134-01	TCGA-BH-A1ES
TCGA-A7-A4SC-01A-12D-A25N-01	TCGA-A7-A4SC
TCGA-A2-A3XT-01A-11D-A22W-01	TCGA-A2-A3XT
TCGA-AC-A3YJ-01A-11D-A22W-01	TCGA-AC-A3YJ
TCGA-BH-A0B5-01A-11D-A12N-01	TCGA-BH-A0B5
TCGA-E9-A1N3-01A-12D-A160-01	TCGA-E9-A1N3
TCGA-S3-AA11-01A-31D-A41E-01	TCGA-S3-AA11
TCGA-OL-A66O-01A-11D-A31T-01	TCGA-OL-A66O
TCGA-XX-A89A-01A-11D-A36I-01	TCGA-XX-A89A
TCGA-EW-A1PA-01A-11D-A141-01	TCGA-EW-A1PA
TCGA-AQ-A1H3-01A-31D-A13J-01	TCGA-AQ-A1H3
TCGA-A7-A13F-01A-11D-A12N-01	TCGA-A7-A13F
TCGA-PL-A8LZ-01A-31D-A36I-01	TCGA-PL-A8LZ
