sample_old	sample_id
TCGA-BH-A0BJ-01A-11R-A056-07	TCGA-BH-A0BJ
TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-E2-A1LH
TCGA-LL-A7T0-01A-31R-A352-07	TCGA-LL-A7T0
TCGA-C8-A8HR-01A-11R-A36F-07	TCGA-C8-A8HR
TCGA-D8-A1JF-01A-11R-A13Q-07	TCGA-D8-A1JF
TCGA-C8-A1HG-01A-11R-A137-07	TCGA-C8-A1HG
TCGA-GM-A2DC-01A-11R-A18M-07	TCGA-GM-A2DC
TCGA-D8-A1JS-01A-11R-A13Q-07	TCGA-D8-A1JS
TCGA-A7-A4SE-01A-11R-A266-07	TCGA-A7-A4SE
TCGA-E9-A226-01A-21R-A157-07	TCGA-E9-A226
TCGA-D8-A1JN-01A-11R-A13Q-07	TCGA-D8-A1JN
TCGA-D8-A3Z6-01A-11R-A239-07	TCGA-D8-A3Z6
TCGA-GM-A3NY-01A-11R-A21T-07	TCGA-GM-A3NY
TCGA-B6-A402-01A-11R-A239-07	TCGA-B6-A402
TCGA-E2-A1IK-01A-11R-A144-07	TCGA-E2-A1IK
TCGA-A2-A0YJ-01A-11R-A109-07	TCGA-A2-A0YJ
TCGA-GM-A2DM-01A-11R-A180-07	TCGA-GM-A2DM
TCGA-A1-A0SM-01A-11R-A084-07	TCGA-A1-A0SM
TCGA-A2-A25C-01A-11R-A169-07	TCGA-A2-A25C
TCGA-BH-A1FM-01A-11R-A13Q-07	TCGA-BH-A1FM
TCGA-BH-A0C3-01A-21R-A12P-07	TCGA-BH-A0C3
TCGA-C8-A1HI-01A-11R-A137-07	TCGA-C8-A1HI
TCGA-OL-A5S0-01A-11R-A28M-07	TCGA-OL-A5S0
TCGA-AQ-A54N-01A-11R-A266-07	TCGA-AQ-A54N
TCGA-AO-A0JG-01A-31R-A084-07	TCGA-AO-A0JG
TCGA-AO-A12G-01A-11R-A10J-07	TCGA-AO-A12G
TCGA-A2-A0T7-01A-21R-A084-07	TCGA-A2-A0T7
TCGA-B6-A0RP-01A-21R-A084-07	TCGA-B6-A0RP
TCGA-GM-A2DH-01A-11R-A180-07	TCGA-GM-A2DH
TCGA-D8-A1XF-01A-11R-A14D-07	TCGA-D8-A1XF
TCGA-A2-A0CK-01A-11R-A22K-07	TCGA-A2-A0CK
TCGA-E9-A247-01A-11R-A169-07	TCGA-E9-A247
TCGA-EW-A6SD-01A-12R-A33J-07	TCGA-EW-A6SD
TCGA-A7-A4SB-01A-21R-A266-07	TCGA-A7-A4SB
TCGA-E9-A1R2-01A-11R-A14D-07	TCGA-E9-A1R2
TCGA-AR-A24Q-01A-12R-A169-07	TCGA-AR-A24Q
TCGA-OL-A6VQ-01A-12R-A41B-07	TCGA-OL-A6VQ
TCGA-GI-A2C8-01A-11R-A16F-07	TCGA-GI-A2C8
TCGA-E2-A108-01A-13R-A10J-07	TCGA-E2-A108
TCGA-B6-A0X5-01A-21R-A109-07	TCGA-B6-A0X5
TCGA-BH-A1FD-01A-11R-A13Q-07	TCGA-BH-A1FD
TCGA-BH-A0W5-01A-11R-A109-07	TCGA-BH-A0W5
TCGA-AC-A2FG-01A-11R-A17B-07	TCGA-AC-A2FG
TCGA-BH-A0BM-01A-11R-A056-07	TCGA-BH-A0BM
TCGA-AC-A2FF-01A-11R-A17B-07	TCGA-AC-A2FF
TCGA-AR-A24M-01A-11R-A169-07	TCGA-AR-A24M
TCGA-E9-A6HE-01A-11R-A31O-07	TCGA-E9-A6HE
TCGA-AC-A4ZE-01A-11R-A41B-07	TCGA-AC-A4ZE
TCGA-E9-A22A-01A-11R-A157-07	TCGA-E9-A22A
TCGA-AR-A0TW-01A-11R-A084-07	TCGA-AR-A0TW
TCGA-BH-A5J0-01A-11R-A27Q-07	TCGA-BH-A5J0
TCGA-E2-A1B1-01A-21R-A12P-07	TCGA-E2-A1B1
TCGA-C8-A1HN-01A-11R-A137-07	TCGA-C8-A1HN
TCGA-D8-A27G-01A-11R-A16F-07	TCGA-D8-A27G
TCGA-GM-A5PV-01A-11R-A28M-07	TCGA-GM-A5PV
TCGA-D8-A1XD-01A-11R-A14D-07	TCGA-D8-A1XD
TCGA-AC-A3HN-01A-11R-A213-07	TCGA-AC-A3HN
TCGA-B6-A0WX-01A-11R-A109-07	TCGA-B6-A0WX
TCGA-B6-A0RT-01A-21R-A084-07	TCGA-B6-A0RT
TCGA-EW-A1J2-01A-21R-A13Q-07	TCGA-EW-A1J2
TCGA-C8-A278-01A-11R-A169-07	TCGA-C8-A278
TCGA-D8-A27W-01A-11R-A16F-07	TCGA-D8-A27W
TCGA-A2-A1FW-01A-11R-A13Q-07	TCGA-A2-A1FW
TCGA-AC-A23E-01A-11R-A157-07	TCGA-AC-A23E
TCGA-AR-A1AS-01A-11R-A12P-07	TCGA-AR-A1AS
TCGA-D8-A27K-01A-11R-A16F-07	TCGA-D8-A27K
TCGA-BH-A209-01A-11R-A157-07	TCGA-BH-A209
TCGA-AR-A24K-01A-11R-A169-07	TCGA-AR-A24K
TCGA-AR-A2LJ-01A-12R-A19W-07	TCGA-AR-A2LJ
TCGA-W8-A86G-01A-21R-A36F-07	TCGA-W8-A86G
TCGA-A1-A0SK-01A-12R-A084-07	TCGA-A1-A0SK
TCGA-E2-A574-01A-11R-A29R-07	TCGA-E2-A574
