initial_alias	converted_alias	name
ENSG00000265956	hsa-mir-4445	MIR4445
ENSG00000207940	hsa-mir-567	MIR567
ENSG00000275670	hsa-mir-8076	MIR8076
ENSG00000265253	hsa-mir-4446	MIR4446
ENSG00000284134	hsa-mir-568	MIR568
ENSG00000264623	hsa-mir-4796	MIR4796
ENSG00000265433	hsa-mir-4447	MIR4447
ENSG00000284121	hsa-mir-198	MIR198
ENSG00000264477	hsa-mir-5682	MIR5682
ENSG00000284421	hsa-mir-7110	MIR7110
ENSG00000266383	hsa-mir-5002	MIR5002
ENSG00000276656	hsa-mir-6083	MIR6083
ENSG00000265981	hsa-mir-544b	MIR544B
ENSG00000264986	hsa-mir-5092	MIR5092
ENSG00000221737	hsa-mir-548i-1	MIR548I1
ENSG00000275067	hsa-mir-6825	MIR6825
ENSG00000276083	hsa-mir-7976	MIR7976
ENSG00000278658	hsa-mir-6826	MIR6826
ENSG00000265859	hsa-mir-5704	MIR5704
ENSG00000264330	hsa-mir-5186	MIR5186
ENSG00000263634	hsa-mir-3919	MIR3919
ENSG00000207779	hsa-mir-15b	MIR15B
ENSG00000198987	hsa-mir-16-2	MIR16-2
ENSG00000221251	hsa-mir-1263	MIR1263
ENSG00000207717	hsa-mir-551b	MIR551B
ENSG00000283474	hsa-mir-6828	MIR6828
ENSG00000207963	hsa-mir-569	MIR569
ENSG00000264974	hsa-mir-4789	MIR4789
ENSG00000283333	hsa-mir-7977	MIR7977
ENSG00000263932	hsa-mir-4448	MIR4448
ENSG00000221120	hsa-mir-1224	MIR1224
ENSG00000264614	hsa-mir-5588	MIR5588
ENSG00000265470	hsa-mir-548aq	MIR548AQ
ENSG00000283958	hsa-mir-1248	MIR1248
ENSG00000207651	hsa-mir-28	MIR28
ENSG00000216058	hsa-mir-944	MIR944
ENSG00000265333	hsa-mir-3137	MIR3137
ENSG00000207650	hsa-mir-570	MIR570
ENSG00000276489	hsa-mir-6829	MIR6829
ENSG00000265850	hsa-mir-4797	MIR4797
ENSG00000284146	hsa-mir-922	MIR922
ENSG00000207642	hsa-mir-571	MIR571
ENSG00000284587	hsa-mir-943	MIR943
ENSG00000284276	hsa-mir-4800	MIR4800
ENSG00000263631	hsa-mir-378d-1	MIR378D1
ENSG00000264658	hsa-mir-4798	MIR4798
